"   ","CODCLAVECIC","RECENCY","FRECUENCY","MONETARY","AVGMONETARY","CODSUBSEGMENTO","BANCA_GYP"
"1","2","209","72","2945.86","40.9147222222222","Q1N","PYM"
"2","6","831","31","806000","26000","C1N","NEG"
"3","24","573","2","907.44","453.72","Q1N","PYM"
"4","34","226","2","500.45","250.225","Q1N","PYM"
"5","55","1400","8","371042.54","46380.3175","Q1N","PYM"
"6","66","523","1","1115.1","1115.1","C1N","NEG"
"7","73","141","2","21.74","10.87","C1N","NEG"
"8","83","33","99","12422280","125477.575757576","MCN","EMP"
"9","86","51","140","8055781.5","57541.2964285714","JBN","EMP"
"10","105","833","8","465.67","58.20875","Q1N","PYM"
